online_order,book_table,votes,location,rest_type,cost
1,0,827,0,20,500
1,0,362,0,20,600
1,0,135,0,20,500
1,0,244,0,62,400
1,0,102,0,20,600
1,0,115,0,20,550
1,0,465,0,62,300
1,0,173,0,62,250
1,0,83,0,62,400
1,0,107,0,62,300
0,0,28,0,20,500
1,0,194,0,62,400
0,0,76,0,62,500
0,0,75,0,62,400
1,0,126,0,62,300
1,0,435,0,20,650
1,0,255,0,62,250
1,1,2488,3,57,900
1,1,2237,3,21,1200
1,1,1337,3,46,1700
1,1,681,3,20,800
0,0,2781,28,21,1200
1,1,4312,28,52,1600
0,1,1763,28,4,1300
1,1,585,28,21,1200
0,1,1187,28,26,1200
1,1,1010,28,58,1300
1,1,842,28,21,1100
0,0,97,28,21,1100
1,1,612,0,21,1500
1,1,2022,30,20,1000
0,0,166,4,20,600
1,0,286,4,20,600
0,1,2303,30,20,950
1,1,2339,30,20,1500
1,0,4884,30,20,750
1,1,775,1,20,800
1,0,918,1,16,800
1,0,74,85,20,1000
1,0,139,30,20,550
0,1,176,30,20,1350
1,1,584,30,20,1200
0,1,633,30,16,800
0,1,102,30,13,800
1,1,1755,4,22,600
1,0,240,4,13,700
0,0,148,4,22,550
1,0,219,4,13,600
1,0,216,4,13,500
1,0,514,4,13,600
1,0,58,4,13,400
1,1,1252,30,22,800
0,0,704,30,13,500
1,0,796,30,13,400
0,1,731,30,13,800
0,0,223,30,13,800
0,0,707,30,13,850
1,0,261,30,13,700
1,1,150,1,13,600
1,1,1901,30,13,800
1,0,324,1,13,700
1,0,228,30,13,400
1,0,504,1,13,550
1,0,130,30,13,650
0,0,108,30,13,700
1,0,918,1,16,800
1,0,90,1,13,650
1,0,144,1,13,700
0,0,46,30,13,400
0,0,62,30,13,150
1,1,291,30,13,650
0,0,59,30,16,550
1,0,62,30,65,650
1,0,157,30,13,450
0,0,168,30,13,400
1,0,143,42,29,500
1,0,627,1,29,450
1,0,414,30,62,500
1,0,95,30,11,400
1,0,4884,30,20,750
1,0,771,1,20,450
1,0,64,4,62,500
1,0,233,4,62,200
1,0,505,1,62,450
1,0,201,1,62,300
1,0,774,42,20,800
1,0,125,28,62,250
1,0,540,4,20,650
1,0,176,4,62,600
1,0,296,30,62,200
1,0,91,28,72,500
1,0,133,4,62,200
1,1,354,1,20,800
1,0,518,28,20,400
1,0,792,30,62,300
1,0,504,1,13,550
1,0,1720,4,62,400
1,0,107,4,9,150
1,0,55,0,62,300
1,0,395,30,62,300
1,0,78,30,62,100
1,0,332,28,62,300
1,0,1975,28,20,800
1,0,618,30,20,750
1,0,261,73,20,500
1,0,253,30,30,300
1,0,750,4,20,500
1,1,2556,1,22,600
1,0,210,30,11,400
1,0,71,4,30,400
1,0,230,1,29,650
1,0,444,4,62,100
1,0,630,30,62,200
1,1,175,30,20,500
1,0,441,1,62,400
1,1,2723,0,20,800
1,0,693,1,20,750
1,0,4401,30,20,600
1,0,172,1,29,750
1,0,319,3,20,650
1,0,170,28,62,200
1,0,208,30,12,250
1,0,163,4,62,500
1,0,97,30,62,350
1,0,415,1,62,500
1,1,291,30,13,650
1,0,1647,1,20,600
1,1,364,30,20,1200
1,0,70,1,62,100
1,0,80,1,62,250
1,0,264,1,62,200
1,0,166,30,62,400
1,0,134,30,62,400
1,0,364,4,20,550
1,0,449,30,13,400
1,0,56,4,30,400
1,0,148,30,62,400
1,0,53,1,29,600
1,1,2115,1,20,800
1,0,67,30,62,200
1,0,287,1,62,350
1,0,84,1,62,250
1,1,2171,28,60,1200
1,1,1428,28,20,800
1,0,93,4,62,200
1,1,1227,3,20,900
1,0,164,30,62,400
1,0,577,30,20,900
1,1,166,30,20,800
1,0,32,1,62,150
1,0,104,30,62,200
1,0,38,1,30,150
1,0,155,30,9,300
1,1,3227,0,25,1600
1,0,109,73,20,500
1,0,662,28,20,650
1,1,784,0,20,800
1,0,73,73,20,500
1,0,85,28,62,300
1,0,659,30,30,500
1,0,152,30,30,350
1,0,337,30,62,300
1,0,191,4,62,250
1,0,108,30,62,500
1,0,438,30,30,500
1,0,49,30,62,200
1,0,276,4,62,500
1,1,1539,0,20,800
1,1,1063,30,21,1200
1,0,195,30,20,800
1,0,211,30,20,500
1,0,860,1,30,500
1,0,289,3,62,400
1,0,146,1,9,400
1,0,169,28,13,600
1,0,134,30,62,350
1,0,113,73,62,250
1,0,91,30,62,200
1,0,237,1,62,200
1,1,197,30,57,1000
1,0,133,1,13,800
1,0,90,28,0,500
1,1,1252,30,22,800
1,0,796,30,13,400
1,0,918,1,16,800
1,0,155,30,20,450
1,0,240,4,13,700
1,0,41,0,13,700
1,0,217,85,62,800
1,0,73,4,0,300
1,0,192,30,30,300
1,0,53,30,62,250
1,0,61,73,9,150
1,0,242,30,20,650
1,0,465,30,20,600
1,0,324,1,13,700
1,0,307,73,20,700
1,0,47,30,66,400
1,1,150,1,13,600
1,0,290,1,62,450
1,0,356,30,30,400
1,0,249,30,30,300
1,0,82,0,62,1000
1,0,91,30,13,300
1,0,164,4,62,600
1,0,179,1,20,600
1,0,153,28,41,400
1,0,79,30,20,600
1,0,558,4,62,150
1,0,197,1,30,300
1,1,1129,30,20,1300
1,0,89,30,62,200
1,0,45,1,20,800
1,0,54,4,13,600
1,1,442,30,60,1200
1,0,659,30,12,600
1,0,261,30,13,700
1,0,176,4,20,800
1,0,61,4,62,100
1,0,75,1,62,200
1,1,1872,0,13,900
1,0,30,30,9,100
1,0,105,1,20,700
1,0,74,4,62,300
1,0,136,30,62,350
1,0,71,30,20,450
1,0,178,28,30,400
1,0,233,30,20,800
1,0,97,4,20,400
1,0,144,1,13,700
1,0,137,0,62,300
1,1,970,30,54,1500
1,0,135,1,20,800
1,0,514,4,13,600
1,0,914,28,4,1000
1,0,177,30,20,700
1,0,157,85,20,450
1,0,70,1,30,400
1,0,247,30,13,400
1,0,62,1,65,600
1,0,57,30,62,400
1,0,204,30,30,300
1,0,519,1,20,900
1,0,119,28,20,800
1,0,130,30,13,650
1,0,208,28,20,650
1,1,349,1,20,1200
1,0,128,1,62,300
1,0,1778,30,62,200
0,0,279,4,62,200
1,0,469,4,20,750
1,0,322,30,20,400
1,0,90,1,13,650
1,0,81,73,20,500
1,0,214,0,20,400
1,0,316,4,62,100
